"Total Time","Mean Performance","Wallclock Time","Incumbent ID","Automatic Configurator Time","Configuration..."
0.1280, 100000000, 0.0005, 0, 0.1280, -ps='10'
1000000000.1280, 2147483647.001, 0.3071, 0, 0.1280, -ps='10'
1000000000.1280, 2147483647.001, 0.3074, 0, 0.1280, -ps='10'
1000000000.1280, 2147483647.001, 0.3075, 0, 0.1280, -ps='10'
