"Total Time","Mean Performance","Wallclock Time","Incumbent ID","Automatic Configurator Time","Configuration..."
0.0880, 100000000, 0.0005, 0, 0.0880, -ps='10'
1000000000.0880, 2147483647.001, 0.2923, 0, 0.0880, -ps='10'
1000000000.0880, 2147483647.001, 0.2926, 0, 0.0880, -ps='10'
1000000000.0880, 2147483647.001, 0.2927, 0, 0.0880, -ps='10'
